rater,n,val_mean,val_sd,val_min,val_max,pct_val_+2,pct_val_-2,aro_mean,aro_sd,aro_max,pct_aro_5,pct_aro_ge4,intensity_mean,intensity_sd
deepseek,120,-0.35,0.89,-2,1,0.0,14.2,2.53,0.92,4,0.0,17.5,2.05,0.77
grok,120,-0.2,0.84,-2,1,0.0,9.2,2.58,1.0,5,4.2,16.7,2.18,0.86
glm,120,-0.24,1.04,-2,1,0.0,17.5,2.3,1.0,5,0.8,13.3,2.18,0.88
gemini,120,-0.36,1.04,-2,2,2.5,16.7,3.0,1.15,5,10.8,32.5,2.29,0.99
gpt,120,-0.29,1.19,-2,2,5.0,22.5,2.94,1.15,5,9.2,31.7,2.35,0.93
opus,120,-0.12,0.84,-2,2,0.8,2.5,1.82,0.88,4,0.0,5.8,1.65,0.64
