covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
year_c,-0.254687119704852,0.7751589919975026,0.0014848101572848037,-0.2575972941370095,-0.25177694527269456,0.7729064233916878,0.7774181255187719,0.0,-171.52840614357416,0.0,inf
election_window,0.26689499105759257,1.305903307605166,0.012116085125560014,0.24314790057787347,0.29064208153731164,1.2752572214512785,1.3372858589840715,0.0,22.02815416792943,1.547520353744964e-107,354.8163477683523
log_requests,0.36841097886249624,1.4454359605477902,0.006528980091404012,0.35561441302756536,0.3812075446974271,1.4270571875042735,1.464051429991103,0.0,56.427033580258936,0.0,inf
topic_ccp_info_manipulation,-0.021664250934105695,0.9785687334397764,0.05587388886096085,-0.13117506077778265,0.08784655890957127,0.8770642214061185,1.091820579034337,0.0,-0.38773479662416216,0.6982123023884045,0.5182623177182977
topic_disaster,0.370767593692144,1.4488463132332592,0.046079704985143174,0.2804530315030326,0.46108215588125545,1.3237293676234894,1.585789127832264,0.0,8.046223251899841,8.538816535687034e-16,50.056813389383606
topic_energy,0.2458821716735246,1.2787488918227194,0.04438285438331134,0.1588933755511487,0.33287096779590053,1.1722129534570707,1.3949672911524589,0.0,5.54002609994323,3.024265700306286e-08,24.978839864356367
topic_food_safety,0.4542245353928002,1.5749515901504338,0.046795951804412386,0.3625061552338798,0.5459429155517207,1.4369260655749057,1.7262353093476368,0.0,9.70649207630758,2.8290629226918483e-22,71.5820938226839
topic_health,0.3584745602918005,1.4311446237634187,0.016749405583527822,0.3256463285856319,0.39130279199796913,1.3849254736958545,1.4789062466019307,0.0,21.40222579864815,1.273796984905111e-101,335.16560222142135
topic_international,0.29988553427948017,1.3497043038578522,0.06301700625229693,0.17637447161144276,0.4233965969475176,1.1928846764696661,1.5271398348780227,0.0,4.758803251916613,1.9474414373107273e-06,18.969988624540044
topic_lgbtq,0.38297490691093944,1.4666412270477194,0.055082128093586424,0.27501591965568817,0.4909338941661907,1.316551633749497,1.6338413425912943,0.0,6.952797943105102,3.5811144159391742e-12,38.02272852541547
topic_pension,0.11403354868433835,1.1207897252741306,0.03666685930007342,0.042167825029996914,0.18589927233867978,1.0430695172354518,1.204300947849966,0.0,3.1099895344488915,0.0018709397277130618,9.06202120172747
topic_pre_election,0.08757048832816021,1.091519201094992,0.02084754571592347,0.04671004955889792,0.1284309270974225,1.0478181496950043,1.1370428797266419,0.0,4.2005178701334325,2.66305146709226e-05,15.19656016357463
topic_scam,0.22027796950402856,1.2464231500629581,0.01893450915966615,0.18316701348613915,0.257388925521918,1.201014977029724,1.2935481228178038,0.0,11.63367730562879,2.778640235273171e-31,101.5053918879653
topic_traffic,0.3969488368755867,1.4872798342214772,0.03195892034296469,0.3343105040185914,0.45958716973258196,1.3969768431619694,1.5834201662750107,0.0,12.420595959305283,2.0205072452850358e-35,115.25276579620395
topic_us_skepticism,0.13160110313512,1.140653225509962,0.01689358820895902,0.09849027867590979,0.1647119275943302,1.1035036768253714,1.1790534170301425,0.0,7.790003018146802,6.700759432288713e-15,47.08459681026125
topic_vaccine,0.010286904280489489,1.0103399963752577,0.018917973941010184,-0.02679164330435774,0.04736545186533672,0.9735640689857832,1.0485051172225033,0.0,0.5437635294649417,0.5866042087363291,0.7695406727845698
