covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
year_c,-0.3386730611118492,0.7127154253913554,0.0013311665553423023,-0.34128209961774436,-0.336064022605954,0.7108583470506539,0.714577355247099,0.0,-254.41824672703052,0.0,inf
election_window,0.3340521234277385,1.3966159380872665,0.010981969243611056,0.31252785923093424,0.35557638762454274,1.3668760207580808,1.4270029241112825,0.0,30.418235201494383,3.152973593993477e-203,672.6946901745663
log_requests,0.35621530778507177,1.4279149563755056,0.005756411353006739,0.3449329488529811,0.36749766671716244,1.4118952472979471,1.4441164289935395,0.0,61.881489341273415,0.0,inf
topic_ccp_info_manipulation,0.05684988137377229,1.0584968983677217,0.047768961802068764,-0.03677556333715205,0.15047532608469663,0.9638924438778116,1.1623866241201877,0.0,1.1901008359639553,0.2340067617561635,2.0953778769968743
topic_disaster,0.2639063532599804,1.3020062619496893,0.04193741560582971,0.18171052906786617,0.34610217745209465,1.199266990696004,1.4135470410741218,0.0,6.2928616236260115,3.1166615636645e-10,31.579279446759834
topic_energy,0.11834624916319607,1.125633793658985,0.03935693677421238,0.0412080705439198,0.19548442778247233,1.0420689068339632,1.215899859517642,0.0,3.0069984826852534,0.0026384107987104635,8.566115075977923
topic_food_safety,0.2979824582360474,1.3471381564927338,0.04195585223893056,0.21575049890705933,0.3802144175650355,1.2407927612272525,1.4625981625518707,0.0,7.10228591089258,1.2271003444898114e-12,39.56788391036584
topic_health,0.13075467886746217,1.1396881574250488,0.015249190869962199,0.10086681396895925,0.1606425437659651,1.1061293109796928,1.1742651453874626,0.0,8.574532247807474,9.949030677857586e-18,56.48014973551922
topic_international,0.215456368037754,1.2404278594408353,0.0565376092854188,0.10464469006633581,0.3262680460091722,1.1103160339450298,1.3857867737080247,0.0,3.8108503483064813,0.0001384895895276664,12.81793484877174
topic_lgbtq,0.07510725282957718,1.077999763209534,0.04934036750872748,-0.02159809047149895,0.1718125961306533,0.9786334781416193,1.187455278646869,0.0,1.5222272678915896,0.12795214495865845,2.9663237623182765
topic_pension,-0.018646636077797225,0.9815261368958499,0.03191315844912026,-0.08119527727099306,0.043902005115398615,0.9220136255591752,1.0448799569804834,0.0,-0.5842930309616926,0.5590231800803231,0.8390199887534538
topic_pre_election,0.12198420512789412,1.1297362575996936,0.018084383385437195,0.08653946500982268,0.15742894524596557,1.090394399294332,1.1704975856087894,0.0,6.745278648876925,1.527336175088436e-11,35.93019140156488
topic_scam,0.07557287526236582,1.0785018209574295,0.017483924841468535,0.04130501226468232,0.10984073826004932,1.0421699316836273,1.116100304227157,0.0,4.3224205061280845,1.543266952951109e-05,15.98365283483087
topic_traffic,0.20433336056621412,1.2267070210493738,0.02928829176098197,0.14692936354598826,0.26173735758643996,1.158272143903157,1.2991852764592136,0.0,6.9766226802762255,3.0236032038390284e-12,38.2668683156947
topic_us_skepticism,0.12889043221758448,1.1375654768105425,0.014699201176746826,0.10008052730965192,0.15770033712551704,1.105259918099804,1.1708152922581103,0.0,8.76853311059384,1.8100894873442115e-18,58.9386446848318
topic_vaccine,-0.09351303775147762,0.9107261435276715,0.01698045994908528,-0.12679412769260962,-0.06023194781034564,0.8809150099360586,0.9415461186942296,0.0,-5.507096864977152,3.647995567040593e-08,24.708320782724655
