articleId,article_createdAt,articleType,replyId,replyType,reply_createdAt,reply_type,latency_hours,text_preview,year,clean_text,is_url_only,in_2020_win,in_2024_win,cluster_id,umap_x,umap_y,scam_hits,pol_hits,health_hits,topic,window,sub_electoral,sub_candidate,sub_cross_strait,sub_party,sub_defense,sub_theme
5480228867698-rumor,2017-01-10 04:10:59.999999998+00:00,TEXT,AV1zmaxMyCdS-nWhuc7z,RUMOR,2017-07-24 07:57:17.259000+00:00,RUMOR,4683.771460833334,"黨職併公職 當年國民黨一紙文書片面要考試院通過
(信賴保護原則?)
https://www.ptt.cc/bbs/PublicIssue/M.1458571847.A.FDF.html",2017.0,"黨職併公職 當年國民黨一紙文書片面要考試院通過
(信賴保護原則?)",False,False,False,88,8.853565216064453,4.087949752807617,0,1,0,political,off,0,0,0,1,0,party
5479623347012-rumor,2017-01-10 01:12:00.000000004+00:00,TEXT,AV0xR_DMyCdS-nWhucC0,NOT_RUMOR,2017-07-11 10:53:04.587000+00:00,NOT_RUMOR,4377.684607499999,"（中央社記者唐佩君台北2016年12月23日電）國家年金改革委員會副召集人兼執行長林萬億今天說，政府將召開年金改革國是會議，包括18%優惠存款利息儘速走入歷史及黨職併公職等改革，都會考量基本生活保障，民眾不必恐慌。
林萬億上午在行政院召開記者會，說明總統府國家年金改革委員會即將於12月31日、民國106年1月7日、8日、14日，分別在全國北中南東召開4場分區座談會議；接著1月21至22日舉辦全國大",2017.0,"（中央社記者唐佩君台北2016年12月23日電）國家年金改革委員會副召集人兼執行長林萬億今天說，政府將召開年金改革國是會議，包括18%優惠存款利息儘速走入歷史及黨職併公職等改革，都會考量基本生活保障，民眾不必恐慌。
林萬億上午在行政院召開記者會，說明總統府國家年金改革委員會即將於12月31日、民國106年1月7日、8日、14日，分別在全國北中南東召開4場分區座談會議；接著1月21至22日舉辦全國大",False,False,False,35,4.315726280212402,2.627986192703247,0,1,0,political,off,0,0,0,0,0,general
5479651882998-rumor,2017-01-10 01:21:59.999999999+00:00,TEXT,AV-w2tm8yCdS-nWhujBJ,NOT_RUMOR,2017-11-12 15:30:53.499000+00:00,NOT_RUMOR,7358.148194166667,日本防衛省統合幕僚監部9日晚間發布消息，包括6架中國空軍的轟-6轟炸機與兩架預警、偵察機，在當天下午通過對馬海峽（南韓稱「大韓海峽」）飛往日本海，日本航空自衛隊的戰機也緊急升空對應。但日本防衛省也表示，中方軍機並未侵犯日本領空，目前正在分析中方動機。,2017.0,日本防衛省統合幕僚監部9日晚間發布消息，包括6架中國空軍的轟-6轟炸機與兩架預警、偵察機，在當天下午通過對馬海峽（南韓稱「大韓海峽」）飛往日本海，日本航空自衛隊的戰機也緊急升空對應。但日本防衛省也表示，中方軍機並未侵犯日本領空，目前正在分析中方動機。,False,False,False,110,12.15346622467041,3.8995983600616455,0,1,0,political,off,0,0,1,0,0,cross_strait
5479621240535-rumor,2017-01-10 01:11:00.000000003+00:00,TEXT,AV-b30vDyCdS-nWhui2G,NOT_RUMOR,2017-11-08 13:43:43.297000+00:00,NOT_RUMOR,7260.545360277777,"台南市副市長顏純左已表態參加黨內市長初選，連日來傳出他即將請辭副市長職務。今天他表示，經長考後，決定請辭。

也身兼民進黨台南市黨部主委的顏純左說，謝謝各界的關心，也謝謝國民黨市議員謝龍介的鼓勵，經過一番的長考，決定在23日請辭副市長。",2017.0,"台南市副市長顏純左已表態參加黨內市長初選，連日來傳出他即將請辭副市長職務。今天他表示，經長考後，決定請辭。

也身兼民進黨台南市黨部主委的顏純左說，謝謝各界的關心，也謝謝國民黨市議員謝龍介的鼓勵，經過一番的長考，決定在23日請辭副市長。",False,False,False,-1,10.09401035308838,4.774463176727295,0,3,0,political,off,0,0,0,2,0,party
5478731390991-rumor,2017-01-09 16:41:59.999999999+00:00,TEXT,AV4KeJuPyCdS-nWhueuq,NOT_RUMOR,2017-08-22 15:03:49.902000+00:00,NOT_RUMOR,5398.363861666667,"中國大陸與巴基斯坦的關係，為「全天候戰略合作夥伴關係」，是中共所有邦交國裡面層次最高的。
目前雙方合作重點，在於「中巴經濟走廊」，以瓜達爾港、能源、交通基礎設施、產業合作為的合作布局。",2017.0,"中國大陸與巴基斯坦的關係，為「全天候戰略合作夥伴關係」，是中共所有邦交國裡面層次最高的。
目前雙方合作重點，在於「中巴經濟走廊」，以瓜達爾港、能源、交通基礎設施、產業合作為的合作布局。",False,False,False,-1,11.112825393676758,4.089998722076416,0,2,0,political,off,0,0,2,0,0,cross_strait
5478693649662-rumor,2017-01-09 16:27:59.999999998+00:00,TEXT,AV0Xh6f1yCdS-nWhubro,NOT_ARTICLE,2017-07-06 10:52:32.628000+00:00,NOT_ARTICLE,4266.4090633333335,美國總統Trump 是steve reich的粉絲？,2017.0,美國總統Trump 是steve reich的粉絲？,False,False,False,-1,11.612089157104492,5.246133327484131,0,1,0,political,off,0,0,0,0,0,general
5478574593886-rumor,2017-01-09 15:52:59.999999998+00:00,TEXT,AV29OLhGyCdS-nWhud2u,NOT_RUMOR,2017-08-07 15:03:17.317000+00:00,NOT_RUMOR,5039.171476944445,"媒體報~
司委會審完立法院預算後，又有一名民進黨立委林靜儀的助理，特別拿了台中大甲媽的符咒，到廁所燒了之後製成符水，進議場內在座位上灑水，該助理還在臉書開公開直播，因多數助理與媒體都還在現場，該助理的行為立即遭議事人員制止，助理急忙離開，影片也改成只有好友才看得到。

http://www.appledaily.com.tw/realtimenews/article/new/20161123/99",2017.0,"媒體報~
司委會審完立法院預算後，又有一名民進黨立委林靜儀的助理，特別拿了台中大甲媽的符咒，到廁所燒了之後製成符水，進議場內在座位上灑水，該助理還在臉書開公開直播，因多數助理與媒體都還在現場，該助理的行為立即遭議事人員制止，助理急忙離開，影片也改成只有好友才看得到。",False,False,False,-1,10.035799026489258,4.89902925491333,0,2,0,political,off,0,0,0,1,0,party
5478567182279-rumor,2017-01-09 15:51:00.000000002+00:00,TEXT,AV0xEu5syCdS-nWhucCO,RUMOR,2017-07-11 09:55:10.571000+00:00,RUMOR,4386.0696030555555,"【監督年金改革行動聯盟】發佈動員公告105.12.26.
無良政府、毀約背信！
政治霸凌、會議無效！
抗議蔡政府假改革、真鬥爭！
壹、活動主軸：結合軍、警、消、公、教、勞…，向蔡英文政府抗議當前年金改革之荒謬無道，假改革、真鬥爭！無良政府、毀約背信！政治霸凌、會議無效！

貳、集結時間：105年12月31日（週六）中午12時50分

參、活動時間：105年12月31日（週六）中午12時50分～17",2017.0,"【監督年金改革行動聯盟】發佈動員公告105.12.26.
無良政府、毀約背信！
政治霸凌、會議無效！
抗議蔡政府假改革、真鬥爭！
壹、活動主軸：結合軍、警、消、公、教、勞…，向蔡英文政府抗議當前年金改革之荒謬無道，假改革、真鬥爭！無良政府、毀約背信！政治霸凌、會議無效！

貳、集結時間：105年12月31日（週六）中午12時50分

參、活動時間：105年12月31日（週六）中午12時50分～17",False,False,False,-1,10.204840660095217,4.87125301361084,0,1,0,political,off,0,1,0,0,0,candidate
AV3rD21YyCdS-nWhueTv,2017-08-16 12:40:43.093000+00:00,TEXT,AV3uzNphyCdS-nWhueWO,RUMOR,2017-08-17 06:06:28.960000+00:00,RUMOR,17.4294075,"
✊剛剛接到這份鑑鏘的宣示, 請轉發.✊

「前司法院院長蘇永欽」與「前最高法院院長楊仁壽」公開宣示：
我們是民主法治國家，退休軍公教警的退休俸(金)係法定給與而非年金，政府應遵守信賴保護與法律不溯既往的原則，主管機關是銓敘部而非總統府審議小組，

即使立法院完成立法107年1月1日施行，
將提出行政訴訟敗訴或聲請大法官釋憲，裁定不溯既往，主管機關失職人員要負刑責！

請全國所有軍公教警消全力支持",,"✊剛剛接到這份鑑鏘的宣示, 請轉發.✊

「前司法院院長蘇永欽」與「前最高法院院長楊仁壽」公開宣示：
我們是民主法治國家，退休軍公教警的退休俸(金)係法定給與而非年金，政府應遵守信賴保護與法律不溯既往的原則，主管機關是銓敘部而非總統府審議小組，

即使立法院完成立法107年1月1日施行，
將提出行政訴訟敗訴或聲請大法官釋憲，裁定不溯既往，主管機關失職人員要負刑責！

請全國所有軍公教警消全力支持",False,False,False,35,4.248089790344238,2.833815574645996,0,1,0,political,off,0,0,0,0,0,general
30mrvhzl2p392,2018-11-05 05:35:09.682000002+00:00,TEXT,yf2M7mYBP8WrztivXHcY,OPINIONATED,2018-11-07 14:21:07.991000+00:00,OPINIONATED,56.766196944444445,今天看了選情直播，賴清德為了拉高蘇貞昌的支持，把深澳火力發電廠停建，轉到我們桃園觀塘，因為鄭文燦的支持度高，所以不怕，犧牲桃園人的肺，我們桃園再加觀塘火力發電廠就五座了，以後空汚絕對是全台最嚴重的，還要再選民進黨嗎？一個環評不通過的發電廠硬拗，請發出去，救救我們自己。,,今天看了選情直播，賴清德為了拉高蘇貞昌的支持，把深澳火力發電廠停建，轉到我們桃園觀塘，因為鄭文燦的支持度高，所以不怕，犧牲桃園人的肺，我們桃園再加觀塘火力發電廠就五座了，以後空汚絕對是全台最嚴重的，還要再選民進黨嗎？一個環評不通過的發電廠硬拗，請發出去，救救我們自己。,False,False,False,-1,10.287328720092772,5.335474491119385,0,2,0,political,off,0,1,0,1,0,candidate
