cluster_id,label,size,median_latency_h,pct_2020_win,pct_2024_win,label_en
68,"加入, 加入社, 下連結加, 社群！ , 入社群",156,24.4,3.8,8.3,(other)
69,"腎臟, 洗腎, 。 , ！ , 食物",110,51.5,3.6,0.9,(other)
70,"詐騙, li, 音信, in, lin",543,18.0,3.9,3.9,LINE phishing scams
71,"華電, 中華電, 華電信, 中華電信, 電信",87,6.4,3.4,0.0,(other)
72,"電話, 詐騙, ━━, ━━━, ━━━━",244,5.7,4.1,1.2,Phone scams
73,"手機, 充電, ____, ___, __",307,10.7,2.9,0.7,Phone & charging tips
74,"台灣, 。 , 食品, 進口, 鳳梨",135,23.7,3.7,3.7,(other)
75,"新年, 聖誕, 貼圖, 20, 快樂",124,5.8,16.1,5.6,(other)
76,"麥當, 麥當勞, 當勞, 優惠,  麥",95,3.4,3.2,2.1,(other)
77,"貼圖, ↓↓, 臭跩貓, 跩貓, 臭跩",119,2.7,6.7,2.5,(other)
78,"貼圖, 下載, ↓↓, 免費, ↓↓↓",415,3.1,14.9,1.7,Free sticker scams
79,"。 , 禱告, 我們, ， , 彌陀",127,14.8,8.7,1.6,(other)
80,"。 , ， , 人生, 自己, 的人",189,25.5,3.2,1.1,(other)
81,"柚子, 水果, 荔枝, 蘋果, 。 ",384,22.2,2.1,1.3,Fruit health claims
82,".., ..., 。 , 食物, 營養",333,39.5,4.8,0.6,Food & nutrition
83,"糖尿, 尿病, 糖尿病, 血糖, 胰島",133,67.7,3.8,1.5,(other)
84,"教育, 老師, 學生, 。 , 教師",198,15.2,7.1,3.5,(other)
85,"。 , ----, ---, --, ， ",225,12.5,4.9,1.8,(other)
86,"。 , 孩子, 媽媽, 父親, ..",308,14.0,8.4,0.0,Family & parenting
87,"1.0, .s, s., sm, mm",198,939.3,2.0,0.5,(other)
88,"吃吃吃, 吃吃吃吃, 吃吃, 00,  #",1038,13.8,8.9,1.8,Junk (food meme spam)
89,"確診, 醫院, 。 , 隔離, 疫情",468,4.9,27.6,0.0,COVID-19 containment
90,"病毒, 新冠, 肺炎, 。 , 感染",918,11.2,33.9,2.1,COVID-19 virus
91,"00, 普發,  |, | ,  | ",82,22.6,1.2,1.2,(other)
92,"材料, 卡片, 公司, 提款卡, 款卡",90,197.0,1.1,24.4,(other)
93,"----, 貸款, ---, --, 銀行",336,289.6,1.8,9.5,Loan scams
94,"香港,  香港, 。 ,  香, 台灣",106,23.8,25.5,0.0,(other)
95,"00, 補助, 飯店, 0元, 優惠",335,7.2,3.0,1.2,Travel subsidy scams
96,"敬老, 老卡, 敬老卡, 0元, 00",94,15.0,2.1,2.1,(other)
97,"發票, 00, 中獎, 抽獎, 恭喜",223,11.6,4.0,4.0,(other)
98,"： , 姓名, : , 填寫, __",103,862.5,0.0,26.2,(other)
99,".., ...,  我, 跟你, ..我",103,338.0,1.0,5.8,(other)
100,"。 , 可以,  我, ，我, 我是",147,22.6,3.4,7.5,(other)
101,"00, 薪資, 工作, 兼職, 000",792,559.7,0.8,13.4,Job & salary scams
102,"獲利, 00, 萬 , 專戶, 000",81,674.0,1.2,8.6,(other)
103,"工作, 註冊, 帳號, 訂單, 平台",527,835.8,0.2,16.3,Job platform scams
104,"朗讀, 作內容, 作內, 工作內, 工作內容",134,639.8,1.5,8.2,(other)
105,"帳戶, 獲利, 主力, 交易, 投資",499,819.3,0.4,12.8,Investment & trading scams
106,"交易, 交易所, 易所, 銀行, 審核",91,977.7,1.1,13.2,(other)
107,"00, 0億, 預算, 00億, 政府",299,28.6,9.0,2.7,Government budget
108,"美國, 中國, 台灣, 。 , 國的",267,53.2,8.6,1.1,US–China–Taiwan
109,"台灣, 。 , 日本, 灣人, 台灣人",912,32.9,6.7,5.0,Taiwan–Japan relations
110,"飛機, 戰機, 。 , 飛行, 航空",253,17.2,4.3,5.5,Aviation & military jets
111,"航空, 行李, 機場, 飛機, 。 ",133,20.9,10.5,1.5,(other)
112,"韓國, 國瑜, 韓國瑜, 市長, 高雄",192,19.5,24.0,0.5,(other)
113,"川普, 美國, 總統,  川普,  川",127,27.1,4.7,0.0,(other)
114,"投票, 公投, 票，, 選舉, 。 ",483,7.0,16.1,8.7,Elections & referendums
115,"蔡英, 蔡英文, 英文, 進黨, 民進黨",290,21.7,18.3,4.5,Tsai Ing-wen / DPP
